fecha,placa,código,mina,mpio,pesent,pessal,peso_bas,horaentra,horasal,humedad,cenizas,volatil,azufre,pcal,p_correg,f_b,t_mcal,cod_m,
16/06/2015,SKV894,443/466/01/24,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,38770,13040,25730,03:20:06 p.m.,03:33:34 p.m.,4.48,12.35,35.04,0.84,6658.02,25947.16,1.00844,172756.71,74909198_,
16/06/2015,CTV202,443/466/01/25,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33160,11230,21930,04:07:19 p.m.,04:21:29 p.m.,4.48,12.35,35.04,0.84,6658.02,22115.09,1.00844,147242.71,74909198_,
17/06/2015,XAC434,443/466/01/26,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33180,11740,21440,07:30:53 a.m.,07:44:59 a.m.,4.48,12.35,35.04,0.84,6658.02,21620.95,1.00844,143952.72,74909198_,
17/06/2015,SUK089,443/466/01/27,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,26460,11350,15110,08:28:36 a.m.,08:50:29 a.m.,4.48,12.35,35.04,0.84,6658.02,15237.53,1.00844,101451.78,74909198_,
17/06/2015,XAC434,443/466/01/28,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33690,11930,21760,01:01:44 p.m.,01:16:51 p.m.,4.48,12.35,35.04,0.84,6658.02,21943.65,1.00844,146101.26,74909198_,
18/06/2015,XAC434,443/466/01/29,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33300,11900,21400,07:30:01 a.m.,07:40:25 a.m.,4.48,12.35,35.04,0.84,6658.02,21580.62,1.00844,143684.20,74909198_,
18/06/2015,USB764,443/466/01/30,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,56480,17950,38530,07:36:03 a.m.,08:39:42 a.m.,4.48,12.35,35.04,0.84,6658.02,38855.19,1.00844,258698.63,74909198_,
18/06/2015,SUK089,443/466/01/31,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,26900,11320,15580,07:52:43 a.m.,08:02:51 a.m.,4.48,12.35,35.04,0.84,6658.02,15711.50,1.00844,104607.48,74909198_,
18/06/2015,XAC434,443/466/01/32,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,34100,11890,22210,11:13:45 a.m.,11:24:10 a.m.,4.48,12.35,35.04,0.84,6658.02,22397.45,1.00844,149122.67,74909198_,
19/06/2015,XAC434,443/466/01/33,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33040,11830,21210,07:22:19 a.m.,07:40:21 a.m.,4.48,12.35,35.04,0.84,6658.02,21389.01,1.00844,142408.46,74909198_,
19/06/2015,XAC434,443/466/01/34,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33990,11810,22180,11:15:18 a.m.,11:29:18 a.m.,4.48,12.35,35.04,0.84,6658.02,22367.20,1.00844,148921.26,74909198_,
20/06/2015,XAC434,443/466/01/35,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33040,11930,21110,07:25:36 a.m.,07:38:19 a.m.,4.48,12.35,35.04,0.84,6658.02,21288.17,1.00844,141737.06,74909198_,
20/06/2015,XAC434,443/466/01/36,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,34140,11930,22210,11:00:26 a.m.,11:11:19 a.m.,4.48,12.35,35.04,0.84,6658.02,22397.45,1.00844,149122.67,74909198_,
22/06/2015,XAC434,443/466/01/37,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,33440,11860,21580,07:21:57 a.m.,07:39:32 a.m.,4.48,12.35,35.04,0.84,6658.02,21762.14,1.00844,144892.76,74909198_,
22/06/2015,XAC434,443/466/01/38,CARBONERAS CALIFORNIA DOS S.A. SPO036-104,TOPAGA                   ,34420,11720,22700,03:17:03 p.m.,03:34:50 p.m.,4.48,12.35,35.04,0.84,6658.02,22891.59,1.00844,152412.66,74909198_,
11/06/2015,XVO740,446/469/01/1,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,54710,17200,37510,08:41:29 a.m.,09:26:32 a.m.,5.74,18.94,32.94,1.54,5942.73,37312.70,0.99474,221739.30,34650985_,
12/06/2015,XJA152,446/469/01/2,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,59210,17950,41260,01:03:52 p.m.,01:51:21 p.m.,5.74,18.94,32.94,1.54,5942.73,41042.97,0.99474,243907.29,34650985_,
17/06/2015,TTG050,446/469/01/3,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,35600,10810,24790,09:34:45 a.m.,09:48:54 a.m.,5.74,18.94,32.94,1.54,5942.73,24659.60,0.99474,146545.34,34650985_,
17/06/2015,TTG050,446/469/01/4,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,34720,10890,23830,03:03:35 p.m.,03:21:21 p.m.,5.74,18.94,32.94,1.54,5942.73,23704.65,0.99474,140870.33,34650985_,
18/06/2015,XJB177,446/469/01/5,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,52750,17440,35310,09:22:53 a.m.,10:12:13 a.m.,5.74,18.94,32.94,1.54,5942.73,35124.27,0.99474,208734.05,34650985_,
19/06/2015,XVO740,446/469/01/6,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,55330,17270,38060,01:44:33 p.m.,02:59:00 p.m.,5.74,18.94,32.94,1.54,5942.73,37859.80,0.99474,224990.57,34650985_,
22/06/2015,XJB177,446/469/01/7,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,53460,17460,36000,01:21:43 p.m.,02:07:24 p.m.,5.74,18.94,32.94,1.54,5942.73,35810.64,0.99474,212812.96,34650985_,
22/06/2015,TTG050,446/469/01/8,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,34140,10900,23240,01:41:31 p.m.,01:52:40 p.m.,5.74,18.94,32.94,1.54,5942.73,23117.76,0.99474,137382.61,34650985_,
22/06/2015,XJA152,446/469/01/9,COOPROCARBON SUGAMUXI LTDA SPO036-107,GAMEZA                   ,58060,17870,40190,02:31:12 p.m.,03:18:43 p.m.,5.74,18.94,32.94,1.54,5942.73,39978.60,0.99474,237582.03,34650985_,
